2026-06-12T11:21:25.795118720Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.810087487Z time="2026-06-12T11:21:25Z" level=info msg="vlan config hp-117-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-117-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x25afe3a8f980 BondOptions:0x25afe3836180}}"
2026-06-12T11:21:25.810109646Z time="2026-06-12T11:21:25Z" level=info msg="vc hp-117-tink-system matchedNodes: [hp-117-tink-system], include this node: hp-117-tink-system"
2026-06-12T11:21:25.878914743Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.883892717Z time="2026-06-12T11:21:25Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:25.885409830Z time="2026-06-12T11:21:25Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:25.999673673Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:26.334928786Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:26.336801312Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:27.137723640Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.153705985Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.178968810Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
