REF                                                                                                                                               TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                    LABELS                                                                                       
docker.io/rancher/hardened-flannel:v0.28.4-build20260511                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:575def4219abb169f618848f7536e2a0ba327dcc80ad0e13527a7077c2358db7 67.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-flannel@sha256:575def4219abb169f618848f7536e2a0ba327dcc80ad0e13527a7077c2358db7                                        application/vnd.oci.image.manifest.v1+json                sha256:575def4219abb169f618848f7536e2a0ba327dcc80ad0e13527a7077c2358db7 67.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-k8s-metrics-server:v0.8.1-build20260513                                                                                application/vnd.oci.image.manifest.v1+json                sha256:be861bd5a77f3139c38015b12222d3f4be5f18e2d41f4331c7c68b58f540dca6 69.1 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-k8s-metrics-server@sha256:be861bd5a77f3139c38015b12222d3f4be5f18e2d41f4331c7c68b58f540dca6                             application/vnd.oci.image.manifest.v1+json                sha256:be861bd5a77f3139c38015b12222d3f4be5f18e2d41f4331c7c68b58f540dca6 69.1 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-kubernetes:v1.35.5-rke2r1-build20260512                                                                                application/vnd.oci.image.manifest.v1+json                sha256:96c771588f47e31f00e5f6298c8af4925f109cd00bbc6677ea0bff8a4aba357b 600.8 MiB linux/amd64                                                                  io.cattle.rke2.pinned=pinned,io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
docker.io/rancher/hardened-kubernetes@sha256:96c771588f47e31f00e5f6298c8af4925f109cd00bbc6677ea0bff8a4aba357b                                     application/vnd.oci.image.manifest.v1+json                sha256:96c771588f47e31f00e5f6298c8af4925f109cd00bbc6677ea0bff8a4aba357b 600.8 MiB linux/amd64                                                                  io.cattle.rke2.pinned=pinned,io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
docker.io/rancher/hardened-multus-cni:v4.2.4-build20260310                                                                                        application/vnd.oci.image.manifest.v1+json                sha256:9a7c0a1ad1cc286d3cee24970eedd8b0fc8ecf28d8d3c9806002150b946fd5f8 134.5 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-multus-cni@sha256:9a7c0a1ad1cc286d3cee24970eedd8b0fc8ecf28d8d3c9806002150b946fd5f8                                     application/vnd.oci.image.manifest.v1+json                sha256:9a7c0a1ad1cc286d3cee24970eedd8b0fc8ecf28d8d3c9806002150b946fd5f8 134.5 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-snapshot-controller:v8.5.0-build20260513                                                                               application/vnd.oci.image.manifest.v1+json                sha256:ea5e0abaee355528691255b729fb449994e6ec213e55c82759b32a7fd7208762 90.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/hardened-snapshot-controller@sha256:ea5e0abaee355528691255b729fb449994e6ec213e55c82759b32a7fd7208762                            application/vnd.oci.image.manifest.v1+json                sha256:ea5e0abaee355528691255b729fb449994e6ec213e55c82759b32a7fd7208762 90.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-cluster-repo:v1.8                                                                                                     application/vnd.oci.image.manifest.v1+json                sha256:099647833289c0558b0464cfa52b61aa27820ce0c6f8a727a30b19628a7d53ea 175.1 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-cluster-repo@sha256:099647833289c0558b0464cfa52b61aa27820ce0c6f8a727a30b19628a7d53ea                                  application/vnd.oci.image.manifest.v1+json                sha256:099647833289c0558b0464cfa52b61aa27820ce0c6f8a727a30b19628a7d53ea 175.1 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-eventrouter:v1.8.1-rc1                                                                                                application/vnd.oci.image.manifest.v1+json                sha256:cfbf15012ee547fa12b3f640c6038d7481dcda7dc8449e77eda027d3b378d44b 89.4 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-eventrouter@sha256:cfbf15012ee547fa12b3f640c6038d7481dcda7dc8449e77eda027d3b378d44b                                   application/vnd.oci.image.manifest.v1+json                sha256:cfbf15012ee547fa12b3f640c6038d7481dcda7dc8449e77eda027d3b378d44b 89.4 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
