Jun 12 10:38:03.151453 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1514] device (mgmt-bo): Activation: successful, device activated.
Jun 12 10:38:03.151943 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1519] device (netboot): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:38:03.152111 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1520] device (netboot): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:38:03.152589 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.1525] device (netboot): Activation: successful, device activated.
Jun 12 10:38:03.402978 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.4029] device (netboot): carrier: link connected
Jun 12 10:38:03.453495 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.4534] device (mgmt-bo): carrier: link connected
Jun 12 10:38:03.453650 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.4536] device (mgmt-br): carrier: link connected
Jun 12 10:38:03.453785 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.4537] device (mgmt-br.2021): carrier: link connected
Jun 12 10:38:03.453929 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.4539] device (mgmt-br.2021): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:38:03.455384 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.4553] device (mgmt-br.2021): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:38:03.455571 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.4555] device (mgmt-br.2021): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:38:03.455911 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.4558] manager: NetworkManager state is now CONNECTED_SITE
Jun 12 10:38:03.456170 hp-117-tink-system NetworkManager[2229]: <info>  [1781260683.4561] device (mgmt-br.2021): Activation: successful, device activated.
Jun 12 10:38:04.908809 hp-117-tink-system NetworkManager[2229]: <info>  [1781260684.9087] manager: NetworkManager state is now CONNECTED_GLOBAL
Jun 12 10:38:08.247870 hp-117-tink-system NetworkManager[2229]: <info>  [1781260688.2478] manager: startup complete
Jun 12 10:39:16.581880 hp-117-tink-system NetworkManager[2229]: <info>  [1781260756.5818] manager: (flannel.1): new Vxlan device (/org/freedesktop/NetworkManager/Devices/11)
Jun 12 10:39:17.487224 hp-117-tink-system NetworkManager[2229]: <info>  [1781260757.4872] manager: (calico_tmp_B): new Veth device (/org/freedesktop/NetworkManager/Devices/12)
Jun 12 10:39:17.488322 hp-117-tink-system NetworkManager[2229]: <info>  [1781260757.4883] manager: (calico_tmp_A): new Veth device (/org/freedesktop/NetworkManager/Devices/13)
Jun 12 10:39:24.649947 hp-117-tink-system NetworkManager[2229]: <info>  [1781260764.6499] manager: (cali21853b49958): new Veth device (/org/freedesktop/NetworkManager/Devices/14)
Jun 12 10:39:24.650596 hp-117-tink-system NetworkManager[2229]: <info>  [1781260764.6505] device (cali21853b49958): carrier: link connected
Jun 12 10:39:25.671296 hp-117-tink-system NetworkManager[2229]: <info>  [1781260765.6712] manager: (calia6704d3a7fd): new Veth device (/org/freedesktop/NetworkManager/Devices/15)
Jun 12 10:39:25.671888 hp-117-tink-system NetworkManager[2229]: <info>  [1781260765.6718] device (calia6704d3a7fd): carrier: link connected
Jun 12 10:39:26.678356 hp-117-tink-system NetworkManager[2229]: <info>  [1781260766.6783] manager: (cali244a0845395): new Veth device (/org/freedesktop/NetworkManager/Devices/16)
Jun 12 10:39:26.680733 hp-117-tink-system NetworkManager[2229]: <info>  [1781260766.6807] device (cali244a0845395): carrier: link connected
Jun 12 10:39:26.818335 hp-117-tink-system NetworkManager[2229]: <info>  [1781260766.8183] manager: (cali5ed4d1fe67f): new Veth device (/org/freedesktop/NetworkManager/Devices/17)
Jun 12 10:39:26.819014 hp-117-tink-system NetworkManager[2229]: <info>  [1781260766.8189] device (cali5ed4d1fe67f): carrier: link connected
Jun 12 10:39:27.704950 hp-117-tink-system NetworkManager[2229]: <info>  [1781260767.7049] manager: (cali58ecb4721f0): new Veth device (/org/freedesktop/NetworkManager/Devices/18)
Jun 12 10:39:27.705526 hp-117-tink-system NetworkManager[2229]: <info>  [1781260767.7055] device (cali58ecb4721f0): carrier: link connected
Jun 12 10:39:28.686197 hp-117-tink-system NetworkManager[2229]: <info>  [1781260768.6861] manager: (calic4acc5c4235): new Veth device (/org/freedesktop/NetworkManager/Devices/19)
Jun 12 10:39:28.689947 hp-117-tink-system NetworkManager[2229]: <info>  [1781260768.6899] manager: (calie11b91ed787): new Veth device (/org/freedesktop/NetworkManager/Devices/20)
Jun 12 10:39:28.690572 hp-117-tink-system NetworkManager[2229]: <info>  [1781260768.6905] device (calic4acc5c4235): carrier: link connected
Jun 12 10:39:28.690849 hp-117-tink-system NetworkManager[2229]: <info>  [1781260768.6908] device (calie11b91ed787): carrier: link connected
Jun 12 10:39:30.361566 hp-117-tink-system NetworkManager[2229]: <info>  [1781260770.3615] manager: (cali02cfc6e966d): new Veth device (/org/freedesktop/NetworkManager/Devices/21)
Jun 12 10:39:30.362266 hp-117-tink-system NetworkManager[2229]: <info>  [1781260770.3622] device (cali02cfc6e966d): carrier: link connected
Jun 12 10:39:31.724577 hp-117-tink-system NetworkManager[2229]: <info>  [1781260771.7245] manager: (calif1f81ca39cf): new Veth device (/org/freedesktop/NetworkManager/Devices/22)
Jun 12 10:39:31.725756 hp-117-tink-system NetworkManager[2229]: <info>  [1781260771.7257] device (calif1f81ca39cf): carrier: link connected
Jun 12 10:39:32.659778 hp-117-tink-system NetworkManager[2229]: <info>  [1781260772.6597] manager: (calia1641f2838c): new Veth device (/org/freedesktop/NetworkManager/Devices/23)
Jun 12 10:39:32.660464 hp-117-tink-system NetworkManager[2229]: <info>  [1781260772.6604] device (calia1641f2838c): carrier: link connected
Jun 12 10:40:34.437155 hp-117-tink-system NetworkManager[2229]: <info>  [1781260834.4371] manager: (cali36de783f952): new Veth device (/org/freedesktop/NetworkManager/Devices/24)
Jun 12 10:40:34.437802 hp-117-tink-system NetworkManager[2229]: <info>  [1781260834.4377] device (cali36de783f952): carrier: link connected
Jun 12 10:40:39.579732 hp-117-tink-system NetworkManager[2229]: <info>  [1781260839.5797] manager: (calif315e129187): new Veth device (/org/freedesktop/NetworkManager/Devices/25)
Jun 12 10:40:39.580344 hp-117-tink-system NetworkManager[2229]: <info>  [1781260839.5803] device (calif315e129187): carrier: link connected
Jun 12 10:40:39.591370 hp-117-tink-system NetworkManager[2229]: <info>  [1781260839.5913] manager: (calib9d5928e38c): new Veth device (/org/freedesktop/NetworkManager/Devices/26)
Jun 12 10:40:39.591988 hp-117-tink-system NetworkManager[2229]: <info>  [1781260839.5919] device (calib9d5928e38c): carrier: link connected
Jun 12 10:40:39.611284 hp-117-tink-system NetworkManager[2229]: <info>  [1781260839.6112] manager: (calic96fb6703a5): new Veth device (/org/freedesktop/NetworkManager/Devices/27)
Jun 12 10:40:39.611928 hp-117-tink-system NetworkManager[2229]: <info>  [1781260839.6119] device (calic96fb6703a5): carrier: link connected
Jun 12 10:41:36.613257 hp-117-tink-system NetworkManager[2229]: <info>  [1781260896.6132] manager: (calif14c9ad481c): new Veth device (/org/freedesktop/NetworkManager/Devices/28)
Jun 12 10:41:36.614052 hp-117-tink-system NetworkManager[2229]: <info>  [1781260896.6140] device (calif14c9ad481c): carrier: link connected
Jun 12 10:41:42.988443 hp-117-tink-system NetworkManager[2229]: <info>  [1781260902.9884] manager: (calib8d976d3851): new Veth device (/org/freedesktop/NetworkManager/Devices/29)
Jun 12 10:41:42.989103 hp-117-tink-system NetworkManager[2229]: <info>  [1781260902.9890] device (calib8d976d3851): carrier: link connected
Jun 12 10:41:46.547948 hp-117-tink-system NetworkManager[2229]: <info>  [1781260906.5479] manager: (cali521edf9a430): new Veth device (/org/freedesktop/NetworkManager/Devices/30)
Jun 12 10:41:46.548589 hp-117-tink-system NetworkManager[2229]: <info>  [1781260906.5485] device (cali521edf9a430): carrier: link connected
Jun 12 10:41:53.870868 hp-117-tink-system NetworkManager[2229]: <info>  [1781260913.8708] manager: (cali7b844d4b0e7): new Veth device (/org/freedesktop/NetworkManager/Devices/31)
Jun 12 10:41:53.871747 hp-117-tink-system NetworkManager[2229]: <info>  [1781260913.8717] device (cali7b844d4b0e7): carrier: link connected
Jun 12 10:41:57.055710 hp-117-tink-system NetworkManager[2229]: <info>  [1781260917.0556] manager: (calib89733da5a0): new Veth device (/org/freedesktop/NetworkManager/Devices/32)
