2026-06-12T11:21:25.243644232Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.336486860Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.400882005Z time="2026-06-12T11:21:25Z" level=info msg="vlan config hp-150-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-150-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dc18e3650 BondOptions:0x371dc315abe8}}"
2026-06-12T11:21:25.400894402Z time="2026-06-12T11:21:25Z" level=info msg="vc hp-150-tink-system matchedNodes: [hp-150-tink-system], include this node: hp-150-tink-system"
2026-06-12T11:21:25.412369388Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.490127020Z time="2026-06-12T11:21:25Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:25.491662764Z time="2026-06-12T11:21:25Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:25.640839332Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.738824214Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.792885467Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.876846191Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:26.332773976Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:26.333708738Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:27.135486579Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.148833713Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.163284114Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.167645572Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.173163026Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.176440980Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.189272141Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:29.916695369Z time="2026-06-12T11:21:29Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:29.918121819Z time="2026-06-12T11:21:29Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:32.414173774Z time="2026-06-12T11:21:32Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:32.415143514Z time="2026-06-12T11:21:32Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 1 vlans"
2026-06-12T11:21:32.420576135Z time="2026-06-12T11:21:32Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:33.961278731Z time="2026-06-12T11:21:33Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:33.962076057Z time="2026-06-12T11:21:33Z" level=info msg="cluster network cnet-111938 will add 1 vlans, remove 0 vlans"
2026-06-12T11:21:33.967579020Z time="2026-06-12T11:21:33Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:35.693668356Z time="2026-06-12T11:21:35Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:35.693688320Z time="2026-06-12T11:21:35Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:35.763358251Z time="2026-06-12T11:21:35Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:40.515438790Z time="2026-06-12T11:21:40Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:40.842217891Z time="2026-06-12T11:21:40Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:40.843127142Z time="2026-06-12T11:21:40Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 1 vlans"
2026-06-12T11:21:40.848515614Z time="2026-06-12T11:21:40Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:41.003537710Z time="2026-06-12T11:21:41Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:41.004955461Z time="2026-06-12T11:21:41Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.069405559Z time="2026-06-12T11:21:48Z" level=info msg="vlan config hp-69-tink-system has been removed"
2026-06-12T11:21:48.083696833Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:48.084664131Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:48.103862896Z time="2026-06-12T11:21:48Z" level=info msg="vlan config hp-117-tink-system has been removed"
2026-06-12T11:21:48.111738115Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:48.112587774Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:48.158013410Z time="2026-06-12T11:21:48Z" level=info msg="vlan config hp-150-tink-system has been removed"
2026-06-12T11:21:48.158196946Z time="2026-06-12T11:21:48Z" level=info msg="start to tear down VLAN network"
2026-06-12T11:21:48.158203561Z time="2026-06-12T11:21:48Z" level=info msg="cnet-111938-bo set no master"
2026-06-12T11:21:48.238693994Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.246499615Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.278773594Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:48.336949816Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:48.343118280Z time="2026-06-12T11:21:48Z" level=info msg="Setting NIC eno50 to UP state (current: down)"
2026-06-12T11:21:48.347536346Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.349038507Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.575430142Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.599632194Z time="2026-06-12T11:21:48Z" level=error msg="error syncing 'nic': handler harvester-network-link-monitor-controller: synchronize links to link monitor nic failed, error: results may be incomplete or inconsistent, requeuing"
2026-06-12T11:21:48.599646313Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.610305315Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.614612596Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.617971765Z time="2026-06-12T11:21:48Z" level=info msg="tear down VLAN network successfully"
2026-06-12T11:21:48.619545858Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.625225025Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.693504452Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.694172623Z time="2026-06-12T11:21:48Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.990167042Z time="2026-06-12T11:21:48Z" level=error msg="error syncing 'hp-150-tink-system': handler harvester-network-vlanconfig-controller: vlanconfigs.network.harvesterhci.io \"hp-150-tink-system\" not found, requeuing"
2026-06-12T11:21:48.990875739Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:48.999988367Z time="2026-06-12T11:21:48Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:49.090132996Z time="2026-06-12T11:21:49Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:49.090190601Z time="2026-06-12T11:21:49Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:49.090413512Z time="2026-06-12T11:21:49Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:49.095501024Z time="2026-06-12T11:21:49Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:49.139540125Z time="2026-06-12T11:21:49Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:49.245090410Z time="2026-06-12T11:21:49Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:22:08.262088565Z time="2026-06-12T11:22:08Z" level=info msg="link monitor cnet-111938 has been removed"
2026-06-12T11:26:13.759672731Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 has been changed, vid hash: "
2026-06-12T11:26:13.759773544Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 is not set on this node, skip"
2026-06-12T11:26:13.774082058Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 has been changed, vid hash: "
2026-06-12T11:26:13.774148082Z time="2026-06-12T11:26:13Z" level=info msg="cluster network cnet-eno50 is not set on this node, skip"
2026-06-12T11:26:13.797186359Z time="2026-06-12T11:26:13Z" level=info msg="vlan config cnet-eno50 has been changed, spec: {Description: ClusterNetwork:cnet-eno50 NodeSelector:map[] Uplink:{NICs:[eno50] LinkAttrs:0x371dbea59560 BondOptions:0x371dc3876ba0}}"
