2026-06-12T10:47:12.650394166Z I0612 10:47:12.650083       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.650420285Z I0612 10:47:12.650145       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.650424632Z E0612 10:47:12.650165       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.686708920Z I0612 10:47:12.685925       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.686730803Z I0612 10:47:12.685995       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.686735083Z E0612 10:47:12.686016       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.756497164Z I0612 10:47:12.756286       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.756517585Z I0612 10:47:12.756352       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.756521792Z E0612 10:47:12.756373       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.775285776Z I0612 10:47:12.775166       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.775312624Z I0612 10:47:12.775221       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.775337565Z E0612 10:47:12.775241       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.799116267Z I0612 10:47:12.798930       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.799140432Z I0612 10:47:12.798982       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.799145367Z E0612 10:47:12.798999       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.933682798Z I0612 10:47:12.933518       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:12.933696803Z I0612 10:47:12.933580       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.933700520Z E0612 10:47:12.933600       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:13.268971095Z I0612 10:47:13.268881       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:13.268999380Z I0612 10:47:13.268970       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:13.269018055Z E0612 10:47:13.268991       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:13.852739035Z I0612 10:47:13.852461       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:13.852801737Z I0612 10:47:13.852599       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:13.852806738Z E0612 10:47:13.852626       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:16.760914966Z I0612 10:47:16.760636       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:16.760984118Z I0612 10:47:16.760713       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:16.760991337Z E0612 10:47:16.760731       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:16.784217981Z I0612 10:47:16.784041       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:16.784280223Z I0612 10:47:16.784111       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:16.784285115Z E0612 10:47:16.784131       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:16.887343856Z I0612 10:47:16.887122       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:16.887363076Z I0612 10:47:16.887197       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:16.887367508Z E0612 10:47:16.887220       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:18.775412850Z I0612 10:47:18.775174       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:18.775439182Z I0612 10:47:18.775245       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:18.775444166Z E0612 10:47:18.775267       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:19.774707509Z I0612 10:47:19.774532       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:19.774742873Z I0612 10:47:19.774609       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:19.774751210Z E0612 10:47:19.774634       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:19.925234487Z I0612 10:47:19.924984       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:19.925257153Z I0612 10:47:19.925095       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:19.925263409Z E0612 10:47:19.925119       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:20.050406755Z I0612 10:47:20.050194       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:20.050435214Z I0612 10:47:20.050262       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:20.050441108Z E0612 10:47:20.050283       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:20.072608614Z I0612 10:47:20.072475       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:20.072633420Z I0612 10:47:20.072539       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:20.072718651Z E0612 10:47:20.072558       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:20.080110402Z I0612 10:47:20.079922       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:20.080142813Z I0612 10:47:20.079984       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:20.080150735Z E0612 10:47:20.080007       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:20.103448344Z I0612 10:47:20.103243       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:20.103613185Z I0612 10:47:20.103304       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:20.103622938Z E0612 10:47:20.103322       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:20.280605984Z I0612 10:47:20.280433       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:20.280712426Z I0612 10:47:20.280596       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:20.280757907Z E0612 10:47:20.280682       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:23.587438669Z I0612 10:47:23.587217       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:23.587472630Z I0612 10:47:23.587295       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:23.587477276Z E0612 10:47:23.587319       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:23.802437480Z I0612 10:47:23.801583       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:23.802450254Z I0612 10:47:23.802039       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:23.802453981Z E0612 10:47:23.802202       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:27.803321962Z I0612 10:47:27.803149       1 node_controller.go:429] Initializing node hp-69-tink-system with cloud provider
2026-06-12T10:47:27.803350452Z I0612 10:47:27.803236       1 node_controller.go:233] error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:27.803356028Z E0612 10:47:27.803259       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-69-tink-system': failed to get instance metadata for node hp-69-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:28.314433871Z I0612 10:47:28.314178       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:28.314463338Z I0612 10:47:28.314255       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:28.314467106Z E0612 10:47:28.314276       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:28.425054692Z I0612 10:47:28.424780       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:28.447702081Z I0612 10:47:28.447567       1 node_controller.go:474] Successfully initialized node hp-150-tink-system with cloud provider
